Rule,Criteria,Apply Facts,Trigger Functions,Trigger Rules,Query All Concept,Query Best Concept,Query Rand Best Concept,Query Old Best Concept,Options,Text
# defaults,,,,,,,,,,
#DEBUG_printTestOpenDialog,concept: DEBUG_printTest,,"openDialog: null, unlockRandomUpgradeWithFlair: null",,,,,,$player_name: defaultLeave,"$concept $player_name $player_prefix $player_prefix_lower $player_speed $player_balance $player_current_value $player_total_score $player_max_jumps $player_jumps_remaining $player_weirdness_index ... $player_in_ANY_region , $player_in_ABYSS_region +++ $player_CHIEF_ENGINEER_alive yjiodsgiogs $randf"
DEBUG_printTestOpenDialog,concept: DEBUG_printTest,,,SA_02NavBuoy,,,,,,
defaultOpenDialog,concept: followingBody,,openDialog: null,defaultApproachMessage,,,,,Leave:defaultLeave,
defaultLeave,"concept: optionSelected, option: defaultLeave",,closeDialog: null,,,,,,,
"#ALL valid concepts: playerStart, tutorialPlayerStart, playerWin, tutorialPlayerWin, playerDeath, moduleTutorial, theorisedBody, orbitingBody, followingBody, enteringSystem, playerMutiny",,,,,,,,,,
"#ALL valid types: STAR, PLANET, ASTEROID_BELT, WORMHOLE, STATION, SPACE_ANOMALY, SPACE_ENTITY, RENDEZVOUS_POINT, CUSTOM",,,,,,,,,,
defaultApproachMessage,concept: defaultApproachMessage,,,,,,,,,Your ship approaches [i]$name[/i].
defaultSuccessSound,concept: defaultSuccessSound,,playSoundEffect: success.wav,,,,,,,
defaultFailureSound,concept: defaultFailureSound,,playSoundEffect: failure.wav,,,,,,,
defaultHardLeave,"concept: optionSelected, option: defaultHardLeave",,closeDialog: HARD_LEAVE,,,,,,,
defaultSoftLeave,"concept: optionSelected, option: defaultSoftLeave",,closeDialog: SOFT_LEAVE,,,,,,,
,,,,,,,,,,
"# player start, win, death and story",,,,,,,,,,
defaultPlayerStartOpenDialog,concept: playerStart,,"openDialog: null, objectiveActive: reachNewEden",,,,,,Continue:defaultPlayerStartContinue,"[i]You are a newly established Captain of a starship on a mission of exploration. You have requested for a route to be calculated into an area of space known as New Eden, which reportedly houses a fragment of human civilisation long forgotten. The journey to New Eden be perilous, and the dangers you will face cannot be predicted. [/i]"
