Rule,Criteria,Trigger Functions,Trigger Rules,Text,Options,Query All Concept,Query Best Concept,Query Rand Best Concept,Query Old Best Concept,Apply Facts
# defaults,,,,,,,,,,
DEBUG_printTestOpenDialog,concept: DEBUG_printTest,openDialog: null,,"$concept $player_name $player_prefix $player_prefix_lower $player_speed $player_balance $player_current_value $player_total_score $player_max_jumps $player_jumps_remaining $player_weirdness_index ... $player_in_ANY_region , $player_in_ABYSS_region +++ $player_CHIEF_ENGINEER_alive yjiodsgiogs $randf","gooble: DEBUG_printTestGooble, globble: DEBUG_printTestGlobble, Leave: defaultLeave",,DEBUG_printTestSwitch,,,
DEBUG_printTestA,"concept: DEBUG_printTestSwitch, APPLIED_FACT: true",,,"if you are reading this, the applied fact is true",,,,,,
DEBUG_printTestB,concept: DEBUG_printTestSwitch,,,"if you are reading this, the applied fact is false",,,,,,APPLIED_FACT: true
DEBUG_printTestGooble,"concept: optionSelected, option: DEBUG_printTestGooble",clearFact: APPLIED_FACT,,glooble,Leave:defaultLeave,,,,,
DEBUG_printTestGlobble,"concept: optionSelected, option: DEBUG_printTestGlobble",clearAll: null,SASeederShipFamily,,,,,,,
,,,,,,,,,,
defaultOpenDialog,concept: followingBody,openDialog: null,defaultApproachMessage,,Leave:defaultLeave,,,,,
defaultLeave,"concept: optionSelected, option: defaultLeave",closeDialog: null,,,,,,,,
"#ALL valid concepts: playerStart, tutorialPlayerStart, playerWin, tutorialPlayerWin, playerDeath, moduleTutorial, theorisedBody, orbitingBody, followingBody, enteringSystem, playerMutiny",,,,,,,,,,
"#ALL valid types: STAR, PLANET, ASTEROID_BELT, WORMHOLE, STATION, SPACE_ANOMALY, SPACE_ENTITY, RENDEZVOUS_POINT, CUSTOM",,,,,,,,,,
defaultApproachMessage,concept: defaultApproachMessage,,,Your ship approaches [i]$name[/i].,,,,,,
defaultSuccessSound,concept: defaultSuccessSound,playSoundEffect: success.wav,,,,,,,,
defaultFailureSound,concept: defaultFailureSound,playSoundEffect: failure.wav,,,,,,,,
defaultHardLeave,"concept: optionSelected, option: defaultHardLeave",closeDialog: HARD_LEAVE,,,,,,,,
defaultSoftLeave,"concept: optionSelected, option: defaultSoftLeave",closeDialog: SOFT_LEAVE,,,,,,,,
,,,,,,,,,,
"# player start, win, death and story",,,,,,,,,,
defaultPlayerStartOpenDialog,concept: playerStart,"openDialog: null, objectiveActive: reachNewEden",,"[i]You are a newly established Captain of a starship on a mission of exploration. You have requested for a route to be calculated into an area of space known as New Eden, which reportedly houses a fragment of human civilisation long forgotten. The journey to New Eden be perilous, and the dangers you will face cannot be predicted. [/i]",Continue:defaultPlayerStartContinue,,,,,
defaultPlayerStartContinue,"concept: optionSelected, option: defaultPlayerStartContinue",,,Your transport attaches to a docking port of your new command with a series of whines. The hatch twists open.,Step out of the transport:defaultPlayerStartPortal,,,,,
defaultPlayerStartPortal,"concept: optionSelected, option: defaultPlayerStartPortal",,,,,,,defaultPlayerStartPortalResponse,,
,,,,,,,,,,
defaultPlayerStartWalkerResponse,concept: defaultPlayerStartPortalResponse,,,"You are greeted by one Cairo Walker, your new Security Officer. He has a muscular build, slick brown hair and an ancient English moustache. You notice that one of the gold buttons on his otherwise perfect uniform is loose. He salutes briskly as you step into refuge. ","Mention his service record:defaultPlayerStartWalkerOptionA, Demand an explanation for the tarnished uniform:defaultPlayerStartWalkerOptionB",,,,,
defaultPlayerStartWalkerOptionA,"concept: optionSelected, option: defaultPlayerStartWalkerOptionA",removeMoraleWithFlair: 5,,"You ignore the gold button and exchange a few pleasantries, culminating in a firm handshake. You then refer to his service record; his time as a soldier on Strill, his time on various starships. You note that he gives short answers with little explanation when you ask questions, as if he is trying to avoid the topic entirely. ",Continue: defaultPlayerStartWalkerContinue,,,,,
